S-10B Google 0 0.40350877192982454 S:29, I:2, D:38
S-10B Kardi 0 0.22807017543859648 S:18, I:4, D:17

S-10B Google 1 0.3115942028985507 S:47, I:5, D:34
S-10B Kardi 1 0.16666666666666666 S:28, I:6, D:12

S-10B Google 2 0.28307692307692306 S:52, I:2, D:38
S-10B Kardi 2 0.19384615384615383 S:40, I:5, D:18

S-10B Google 3 0.2789115646258503 S:45, I:2, D:35
S-10B Kardi 3 0.20068027210884354 S:39, I:4, D:16

S-10B Google 4 0.29024943310657597 S:76, I:2, D:50
S-10B Kardi 4 0.1746031746031746 S:47, I:7, D:23

S-10B Google 5 0.24772727272727274 S:58, I:10, D:41
S-10B Kardi 5 0.16818181818181818 S:47, I:14, D:13

S-10B Google 6 0.2962962962962963 S:26, I:0, D:22
S-10B Kardi 6 0.19135802469135801 S:14, I:2, D:15

S-10B Google 7 0.2584745762711864 S:43, I:2, D:16
S-10B Kardi 7 0.1652542372881356 S:22, I:0, D:17

S-10B Google 8 0.28346456692913385 S:49, I:0, D:23
S-10B Kardi 8 0.17716535433070865 S:27, I:4, D:14

S-21A Google 0 0.6614785992217899 S:73, I:0, D:97
S-21A Kardi 0 0.4591439688715953 S:66, I:1, D:51

S-21A Google 1 0.5795454545454546 S:62, I:0, D:91
S-21A Kardi 1 0.3977272727272727 S:60, I:6, D:39

S-21A Google 2 0.6042780748663101 S:44, I:1, D:68
S-21A Kardi 2 0.3582887700534759 S:42, I:9, D:16

S-21A Google 3 0.6173120728929385 S:129, I:0, D:142
S-21A Kardi 3 0.3712984054669704 S:84, I:6, D:73

S-21A Google 4 0.6227544910179641 S:139, I:4, D:169
S-21A Kardi 4 0.4351297405189621 S:119, I:15, D:84

S-21A Google 5 0.630188679245283 S:80, I:2, D:85
S-21A Kardi 5 0.41132075471698115 S:56, I:4, D:49

S-21A Google 6 0.6213592233009708 S:22, I:0, D:42
S-21A Kardi 6 0.42718446601941745 S:18, I:0, D:26

S-21A Google 7 0.6111111111111112 S:8, I:0, D:14
S-21A Kardi 7 0.3333333333333333 S:8, I:0, D:4

S-21A Google 8 0.46153846153846156 S:7, I:0, D:11
S-21A Kardi 8 0.2564102564102564 S:5, I:2, D:3

S-21A Google 9 0.7317073170731707 S:13, I:0, D:17
S-21A Kardi 9 0.4878048780487805 S:10, I:0, D:10

S-21A Google 10 0.49162011173184356 S:40, I:0, D:48
S-21A Kardi 10 0.2905027932960894 S:29, I:1, D:22

S-21A Google 11 0.6342857142857142 S:44, I:0, D:67
S-21A Kardi 11 0.48 S:39, I:1, D:44

S-7C Google 0 0.2916666666666667 S:105, I:19, D:58
S-7C Kardi 0 0.21794871794871795 S:75, I:36, D:25

S-7C Google 1 0.3689095127610209 S:101, I:15, D:43
S-7C Kardi 1 0.2552204176334107 S:62, I:34, D:14

S-7C Google 2 0.263671875 S:75, I:6, D:54
S-7C Kardi 2 0.220703125 S:65, I:32, D:16

S-7C Google 3 0.3921232876712329 S:110, I:6, D:113
S-7C Kardi 3 0.273972602739726 S:85, I:15, D:60

S-7C Google 4 0.3277511961722488 S:75, I:1, D:61
S-7C Kardi 4 0.24401913875598086 S:53, I:17, D:32

S-7C Google 5 0.3367003367003367 S:99, I:7, D:94
S-7C Kardi 5 0.24242424242424243 S:78, I:32, D:34

